,rating,review,app,source,sentiment,normalized_review,theme
13,1,this app is sue candy… reprint issues that the city never cares about .. turing to reports it the app pushes you to customer service and no one at the city cares or does anything maybe alot hole bit nothing else,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.41365087032318115}, {'label': 'anger', 'score': 0.3140232264995575}]",sue candy reprint issue care ture push customer service care maybe alot hole bit,0_car_enforcement_case_street
14,1,this seems fundamentally broken in basic ways.,FindItFixIt,Apple,"[{'label': 'disgust', 'score': 0.3321493864059448}, {'label': 'anger', 'score': 0.3220561742782593}]",fundamentally break basic way,-1_edit_post_website_new
15,1,i used the app to report a parking violation. case was then closed without any stated reason or follow-up. so in my case...useless.,FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.944075882434845}, {'label': 'sadness', 'score': 0.047352053225040436}]",parking violation case close state reason follow case useless,0_car_enforcement_case_street
17,1,"no reports are ever addressed. the streets of seattle are a mess, figuratively and literally. no point using this app as they never fix anything.",FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.7104960083961487}, {'label': 'sadness', 'score': 0.1485469937324524}]",address street mess figuratively literally point fix,-1_edit_post_website_new
18,1,reported an illegally parked vehicle with photo proof and they closed the ticket without explanation.,FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.734001874923706}, {'label': 'sadness', 'score': 0.10036821663379669}]",illegally park vehicle photo proof close ticket explanation,0_car_enforcement_case_street
19,1,"other than reporting damaged or not working streetlights, nothing else works.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.4540866017341614}, {'label': 'sadness', 'score': 0.4038151204586029}]",damage work streetlight work,0_car_enforcement_case_street
21,1,can’t sign out,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.6325753927230835}, {'label': 'neutral', 'score': 0.26967743039131165}]",sign,4_password_register_reset_login
22,1,you’re kidding right?,FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.6485438942909241}, {'label': 'anger', 'score': 0.14974509179592133}]",kid right,2_attack_snitch_garbage_develop
24,2,"i’ve used this app multiple times and have received follow up several times, but the issues never fixed. the obvious one, illegal camping, the city won’t do anything about it, so they finally removed that as an option to report. reported a giant dead rat on the sidewalk, they told me to bag it up and throw it in the trash. nope. i’ve reported graffiti on a park mural that they never removed. instead, a tent got set up there and eventually exploded with four propane tanks inside. this city is crumbling. as i redownloaded the app today to report a violent camper at a playground with parents removing their children who are just trying to enjoy their childhood, i remembered they removed the ability to report that, so i just gave up. sad times. the concept of the app is great, but without a functioning city government, it’s pointless.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.8986474275588989}, {'label': 'anger', 'score': 0.05401896312832832}]",multiple time receive follow time issue fix obvious illegal camping finally remove option giant dead rat sidewalk tell bag throw trash nope graffiti park mural remove instead tent set eventually explode propane tank inside crumble redownloade today violent camper playground parent remove child try enjoy childhood remember remove ability sad time concept great function government pointless,-1_edit_post_website_new
25,2,"confirmed with a parking supervisor. the expected turnaround time for parking enforcement request is 7 to 10 business days. every few days they check for parking enforcement requests. those are then reviewed by a parking supervisor. from there it’s scheduled with a parking enforcement officer. 7 to 10 business days is almost two weeks. this app is useless unless the illegally parked vehicle is still there after 2 weeks. i was told by the parking supervisor, for real-time enforcement requests, call the seattle police non-emergency number. those requests are directly dispatched to parking enforcement officer in the field.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.7159122228622437}, {'label': 'sadness', 'score': 0.12838183343410492}]",confirm parking supervisor expected turnaround time parking enforcement request business day day check parking enforcement request review parking supervisor schedule parking enforcement officer business day week useless illegally park vehicle week tell parking supervisor real time enforcement request police non emergency number request directly dispatch parking enforcement officer field,0_car_enforcement_case_street
29,1,"app won’t let me report a broken street lamp unless i go there and find a 7 digit number on some lamp pole. i gave address , photo, description, issue, and that wasn’t enough? if you know the address and have a photo of the issue why is that not enough?! app is trash, no wonder everything is broken! make it so difficult to report a problem and then nobody will report, so nothing to fix right??!!",FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.4459778070449829}, {'label': 'anger', 'score': 0.24821335077285767}]",let broken street lamp find digit number lamp pole address photo description issue know address photo issue trash wonder break difficult problem fix right,0_car_enforcement_case_street
41,2,"after i used the in-app button to call the customer service bureau the app crashes as soon as i try and open it, making it useless. even when it did work the city closed the case without taking care of the illegal dumping or communicating with me on the status of my request. nice idea but buggy app and ineffective service from the city.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.8233141303062439}, {'label': 'anger', 'score': 0.11559530347585678}]",button customer service bureau crash soon try open useless work close case care illegal dumping communicate status request nice idea buggy ineffective service,-1_edit_post_website_new
43,1,"shame this could be a useful tool for seattoe citizens but seattle simply doesn't respond or act on most reports. our business's restricted loading bay is blocked daily by the same vehicle and all reports and requests for enforcement are immediately closed with no response. this is the same for refuse, graffiti, and encampments set up in parks and playgrounds. if the city won't act on reports, there is no point in reporting.",FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.4746384024620056}, {'label': 'sadness', 'score': 0.3999668061733246}]",shame useful tool seattoe citizen simply respond act business restrict loading bay block daily vehicle request enforcement immediately close response refuse graffiti encampment set park playground act point,7_trash_dump_notify_mayor
50,1,"it’s interesting that in the description of the app, the city does not promise to do anything in response to problems that are reported. as other users have reported, issues are “closed” without any action, even though the app requires a description, exact location, and a photo. i deleted the app, because i can find other ways to waste my time.",FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.35826554894447327}, {'label': 'neutral', 'score': 0.3402840793132782}]",interesting description promise response problem user issue closed action require description exact location photo delete find way waste time,3_close_waste time_waste_complete
52,1,"on paper this sounds like a good idea. but i’ve submitted multiple parking enforcement issues and the reviewer has closed them without coming out even though there is a clear violation of parking laws, which in this case impact pedestrian safety. don’t waste your time, the parking attendants will continue to ticket who they choose.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.5647764801979065}, {'label': 'anger', 'score': 0.25769177079200745}]",paper sound like good idea submit multiple parking enforcement issue reviewer close come clear violation parking law case impact pedestrian safety waste time parking attendant continue ticket choose,0_car_enforcement_case_street
54,1,"doesn’t appear to work. downloaded this app and when attempting to add a new request nothing happens. even trying to use the plus sign in the upper right corner, nothing happens. what’s the use of the app if you can’t make a report? i deleted the app and redownloaded it and got the same results.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.37875422835350037}, {'label': 'surprise', 'score': 0.3302144408226013}]",appear work download attempt add new request happen try use plus sign upper right corner happen use delete redownloade result,-1_edit_post_website_new
56,2,"eventhough i add a location it keeps asking me for the location. bugged so i can’t submit a request, no form online as an alternative to the mobile app…",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.5759750008583069}, {'label': 'surprise', 'score': 0.21720270812511444}]",eventhough add location ask location bug submit request form online alternative mobile,5_location_map_category_gps
57,1,i made a couple reports including a pothole report. it’s been over a year and the status of the reports never changes. the pothole did get fixed but since the status of the report is still ‘reported’ i’m guessing it had nothing to do with what i submitted. i’ve heard nothing on the other reports i filed.,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.6900919079780579}, {'label': 'surprise', 'score': 0.2228589951992035}]",couple include pothole year status change pothole fix status guess submit hear file,0_car_enforcement_case_street
58,1,city announces its going to start towing abandoned vehicles again. people report them en masse. city removes only mechanism to report them because the problem is worse than the city thought.,FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.46507707238197327}, {'label': 'sadness', 'score': 0.39781704545021057}]",announce start tow abandon vehicle en masse remove mechanism problem bad think,-1_edit_post_website_new
62,2,"it's cool to be able to do this stuff from an iphone app, but the app itself is hopelessly broken, infuriatingly slow, and horribly ugly.",FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.9706261157989502}, {'label': 'disgust', 'score': 0.014849657192826271}]",cool able stuff iphone hopelessly break infuriatingly slow horribly ugly,9_iphone_update_phone_application
63,1,this app uses the most battery on phone after latest update. before this update the app worked fine and did not use so much of my phone battery.,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.5957058072090149}, {'label': 'sadness', 'score': 0.26921170949935913}]",use battery phone late update update work fine use phone battery,6_crash_error_crap_game
64,1,don’t bother. it’s a useless waste of space on your phone and time spent submitting requests. they just change your request status to “closed” and nothing happens. completely useless. good in theory though.,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.30987024307250977}, {'label': 'anger', 'score': 0.2544460892677307}]",bother useless waste space phone time spend submit request change request status closed happen completely useless good theory,-1_edit_post_website_new
65,1,"this app allows the city to make you think they are listening to constituent issues. i have flagged 5 issues in the last year, all of which have been “closed” with no feedback, follow up or resolution. good luck fending for yourselves, seattle!",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.6969303488731384}, {'label': 'sadness', 'score': 0.12364210188388824}]",allow think listen constituent issue flag issue year closed feedback follow resolution good luck fend,-1_edit_post_website_new
66,1,"this app is wonky and shoddily built. that said it would have some potential, however they have a built in feature which allows people to harass the homeless, many of which are disabled and/or veterans. i respectfully request this app be removed from the app store.",FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.5381855368614197}, {'label': 'sadness', 'score': 0.2532365918159485}]",wonky shoddily build potential build feature allow harass disabled veteran respectfully request remove store,1_live_disgusting_human_life
67,1,"great idea, but good luck getting the city of seattle to ever do anything. from illegal dumping to potholes to cars blocking streets, every ticket i’ve submitted has been closed in minutes without any action taken.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.6643986105918884}, {'label': 'sadness', 'score': 0.19043280184268951}]",great idea good luck illegal dumping pothole car block street ticket submit close minute action,0_car_enforcement_case_street
68,1,there is a feature on this app where you can report “illegal encampments” so the people surviving off the very little they have can get everything taken away and fined by the city. this app is terrible and should not be used. heartless.,FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.6005749106407166}, {'label': 'fear', 'score': 0.2171117067337036}]",feature illegal encampment survive little away fin terrible heartless,1_live_disgusting_human_life
69,1,app does not work. says it needs location details to submit complaint even though they have been given.,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.584571123123169}, {'label': 'neutral', 'score': 0.23141661286354065}]",work need location detail submit complaint,0_car_enforcement_case_street
70,1,"the feature to report homeless people is disgusting. i know the gentrification-planning must have you too tired to make real efforts to solve important issues, but this feature is inhumane. i’m not even from seattle, i’m in arizona but this is too infuriating.",FindItFixIt,Apple,"[{'label': 'disgust', 'score': 0.6407173871994019}, {'label': 'anger', 'score': 0.34747135639190674}]",feature disgusting know gentrification planning tired real effort solve important issue feature inhumane arizona infuriate,-1_edit_post_website_new
73,1,i don't understand what the point of this app is. the city of seattle has never followed up on anything i've reported through this app. one of the wealthiest cities in america and we can't even keep the roads properly paved. embarrassing!,FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.5633010864257812}, {'label': 'sadness', 'score': 0.3704169988632202}]",understand point follow wealthy america road properly pave embarrassing,1_live_disgusting_human_life
74,1,can't set a location. dialog pops up that tells me i can't submit the report until location is verified. i set it using the app! which is useless since you can't submit.,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.7578911781311035}, {'label': 'anger', 'score': 0.1397314965724945}]",set location dialog pop tell submit location verify set useless submit,5_location_map_category_gps
75,1,"i thought seattle was supposed to be this great city but this is horrendous. taking houses from people who already have nothing. what a joke. if you don’t like the tent towns, maybe do something about the homeless population.",FindItFixIt,Apple,"[{'label': 'fear', 'score': 0.37417715787887573}, {'label': 'disgust', 'score': 0.20380552113056183}]",think suppose great horrendous house joke like tent maybe population,1_live_disgusting_human_life
76,1,sent a report and immediately received two notifications that it was closed!!!,FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.7578166723251343}, {'label': 'sadness', 'score': 0.09487386792898178}]",send immediately receive notification close,3_close_waste time_waste_complete
77,1,"you can report parking violations all you like (and the interface for doing so is quite nice) but no parking enforcement officer will ever show up, so it’s completely pointless.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.7121063470840454}, {'label': 'anger', 'score': 0.11195962876081467}]",parking violation like interface nice parking enforcement officer completely pointless,0_car_enforcement_case_street
78,1,no reports issues are actually fixed. it’s the app equivalent of when you give a little kid a video game controller attached to nothing.,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.9266940951347351}, {'label': 'surprise', 'score': 0.028984317556023598}]",issue actually fix equivalent little kid video game controller attach,-1_edit_post_website_new
79,1,city called the case closed without removing the dirty sofa illegally dumped on my side walk! i don't think they look at those requests. useless apps. crashed and now i can't even open it...,FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.46346545219421387}, {'label': 'sadness', 'score': 0.44893503189086914}]",case close remove dirty sofa illegally dump walk think look request useless crash open,-1_edit_post_website_new
80,2,disappointed in the new logo. looks amateur.,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.9752834439277649}, {'label': 'neutral', 'score': 0.008191816508769989}]",disappoint new logo look amateur,-1_edit_post_website_new
81,1,"found a hazard, reported it. they “closed “it the next day(meaning they fixed it). nope. still there the next day, lame! deleted the app.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.43566471338272095}, {'label': 'sadness', 'score': 0.31942257285118103}]",find hazard close fix nope day lame delete,-1_edit_post_website_new
83,1,easy enough to use but the lack of response makes this app practically useless.,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.3639918267726898}, {'label': 'disgust', 'score': 0.32864856719970703}]",easy use lack response practically useless,-1_edit_post_website_new
84,1,"after spending time filling out form, unable to submit. completely useless and a waste of my time",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.9801677465438843}, {'label': 'anger', 'score': 0.009960760362446308}]",spend time fill form unable submit completely useless waste time,11_submit issue_question_answer_form
85,1,app looks great at first but i've gotten no confirmation of my request and it's been a week and nothing has happened yet.,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.7131639122962952}, {'label': 'surprise', 'score': 0.19528579711914062}]",look great confirmation request week happen,3_close_waste time_waste_complete
86,1,don’t waste your time this app is nothing but show they don’t even fix the problems,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.4639517068862915}, {'label': 'anger', 'score': 0.3695034682750702}]",waste time fix problem,3_close_waste time_waste_complete
87,1,"i only downloaded the app to report a homeless tent encampment that sprung up across the street. never got a response from the city, they marked the case as “closed”, and yet the encampment remains.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.6826348900794983}, {'label': 'surprise', 'score': 0.2206282764673233}]",download tent encampment spring street response mark case closed encampment remain,1_live_disgusting_human_life
88,1,just constantly crashes when you try to open.,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.35441431403160095}, {'label': 'surprise', 'score': 0.2900027632713318}]",constantly crash try open,6_crash_error_crap_game
90,1,requests for service are ignored. this app desperately needs oversight and accountability. taxpayer dollars are being blatantly wasted on this app.,FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.6925379037857056}, {'label': 'sadness', 'score': 0.13781680166721344}]",request service ignore desperately need oversight accountability taxpayer dollar blatantly waste,-1_edit_post_website_new
91,1,"your tax dollars at work. useless app with zero response. months later, still useless.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.9350119829177856}, {'label': 'surprise', 'score': 0.021699225530028343}]",tax dollar work useless response month later useless,-1_edit_post_website_new
92,1,it won’t open. it doesn’t work,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.8280045986175537}, {'label': 'neutral', 'score': 0.09638062864542007}]",open work,10_work work_properly_work great_exist
93,1,nothing reported is ever “fixed.” just comes back “closed” with no help.,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.8499914407730103}, {'label': 'sadness', 'score': 0.057809870690107346}]",fix come closed help,3_close_waste time_waste_complete
94,1,an app that could be otherwise very useful but its being used to report innocent homeless people. shameful,FindItFixIt,Apple,"[{'label': 'disgust', 'score': 0.8785979151725769}, {'label': 'sadness', 'score': 0.06775808334350586}]",useful innocent shameful,2_attack_snitch_garbage_develop
95,1,it is disgusting and downright depressing that this app is used to hurt those in need. taking tents from those who are unfortunate or are victims is pure evil.,FindItFixIt,Apple,"[{'label': 'disgust', 'score': 0.9876196384429932}, {'label': 'sadness', 'score': 0.004196146037429571}]",disgusting downright depressing hurt need tent unfortunate victim pure evil,1_live_disgusting_human_life
96,1,"the fun thing about this app, is that you can report a tent anywhere from anywhere! i hope the pigs enjoy going to aisle 7 at ikea every day, because i keep seeing a tent there!",FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.9926719665527344}, {'label': 'surprise', 'score': 0.0021956060081720352}]",fun thing tent hope pig enjoy aisle ikea day tent,1_live_disgusting_human_life
97,1,web browsers exist. why do we need an app for such a narrow use?,FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.8452647924423218}, {'label': 'neutral', 'score': 0.11476786434650421}]",web browser exist need narrow use,-1_edit_post_website_new
98,1,"download this app if you wanna be someone who snitches on homeless people for, you guessed it, being homeless.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.6985255479812622}, {'label': 'disgust', 'score': 0.18533974885940552}]",download wanna snitch guess,2_attack_snitch_garbage_develop
99,1,"vile app, made for a useless purpose. also terrible ui.",FindItFixIt,Apple,"[{'label': 'disgust', 'score': 0.38722261786460876}, {'label': 'sadness', 'score': 0.2938730716705322}]",vile useless purpose terrible ui,-1_edit_post_website_new
100,1,honestly the worst app. don’t download. save yourself,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.2988830506801605}, {'label': 'neutral', 'score': 0.28590479493141174}]",honestly bad download save,-1_edit_post_website_new
101,1,reporting where homeless people are trying to live is disgusting.,FindItFixIt,Apple,"[{'label': 'disgust', 'score': 0.9896231293678284}, {'label': 'anger', 'score': 0.0030943274032324553}]",try live disgusting,2_attack_snitch_garbage_develop
102,1,pretty dystopian that there is an app for privileged people with smartphones to report municipal violations that are largely the result of income inequality.,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.7765420079231262}, {'label': 'disgust', 'score': 0.07142750173807144}]",pretty dystopian privileged smartphone municipal violation largely result income inequality,1_live_disgusting_human_life
103,1,reporting homeless people who are just trying to survive.. shameful.,FindItFixIt,Apple,"[{'label': 'disgust', 'score': 0.9469913244247437}, {'label': 'sadness', 'score': 0.020679574459791183}]",try survive shameful,2_attack_snitch_garbage_develop
104,1,reporting the homeless should be a crime.,FindItFixIt,Apple,"[{'label': 'fear', 'score': 0.3674166798591614}, {'label': 'anger', 'score': 0.33843380212783813}]",crime,-1_edit_post_website_new
105,1,"by and large, my tickets are ignored. a closed ticket has no reason code, so i have no idea if there is a mitgating circumstance : for example - “we already have a ticket open for that pothole/dead animal/abandoned vehicle”. i like being able to report things, but the lake of transparency is vexing.",FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.9423109889030457}, {'label': 'sadness', 'score': 0.021438635885715485}]",large ticket ignore closed ticket reason code idea mitgate circumstance example ticket open pothole dead animal abandon vehicle like able thing lake transparency vexing,0_car_enforcement_case_street
107,1,i have over a dozen sdot concerns logged. over last 60-100 days. no updates. and no work done. this a feel good app to make you think the city is listening to you. don't waste your time. they could care less about citizen input that requires them to work on something other than what they want to do.,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.6258111000061035}, {'label': 'joy', 'score': 0.201142817735672}]",dozen sdot concern log day update work feel good think listen waste time care citizen input require work want,0_car_enforcement_case_street
109,1,it is basically useless at this point half of it you've got to call other numbers to reach other city departments to report and the other half just as not something you would typically report in the first place unless i can update it to actually be able to report things that would help the neighborhood it's just useless,FindItFixIt,Google,"[{'label': 'disgust', 'score': 0.34921643137931824}, {'label': 'sadness', 'score': 0.22610709071159363}]",basically useless point half number reach department half typically place update actually able thing help neighborhood useless,0_car_enforcement_case_street
110,1,"it used to be very useful but now it says everything is out of service area, even for things i had to report before i can't now.",FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.629638135433197}, {'label': 'surprise', 'score': 0.16165342926979065}]",useful service area thing,0_car_enforcement_case_street
111,2,no longer allows parking enforcement requests,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.7821246981620789}, {'label': 'sadness', 'score': 0.1234937533736229}]",long allow parking enforcement request,0_car_enforcement_case_street
112,1,"i put in a report vehicles left in front of my house for over 2month, and the report is still open.",FindItFixIt,Google,"[{'label': 'surprise', 'score': 0.7031406164169312}, {'label': 'sadness', 'score': 0.18092826008796692}]",vehicle leave house open,-1_edit_post_website_new
113,1,cannot attach photo. cannot correct address location.,FindItFixIt,Google,"[{'label': 'sadness', 'score': 0.9278931617736816}, {'label': 'neutral', 'score': 0.03205282986164093}]",attach photo correct address location,8_upload_photo_picture_camera
114,1,"even if you get past all the bugs, it's just a waste of time. nothing is ever resolved. it's pretty much a suggestion box that gets emptied in the trash each week.",FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.5468078851699829}, {'label': 'disgust', 'score': 0.2694180905818939}]",past bug waste time resolve pretty suggestion box trash week,-1_edit_post_website_new
115,1,pokémon go for nimbys lol,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.7655648589134216}, {'label': 'joy', 'score': 0.17639121413230896}]",pokémon nimbys lol,2_attack_snitch_garbage_develop
116,1,didn't work on my phone (s25).,FindItFixIt,Google,"[{'label': 'sadness', 'score': 0.7837426066398621}, {'label': 'neutral', 'score': 0.10285349190235138}]",work phone,9_iphone_update_phone_application
119,1,"this app is completely worthless. i used it for the better part of 2 years and this app is only useful for alerting the city to basic park and street maintenance (you know like a city should already do). do not expect any response for encampments, dumping in greenbelts, stolen or illegally parked cars or dead/fallen trees. the people of seattle are on their own to police and clean up their own city.",FindItFixIt,Google,"[{'label': 'anger', 'score': 0.848296046257019}, {'label': 'neutral', 'score': 0.07741064578294754}]",completely worthless year useful alert basic park street maintenance know like expect response encampment dump greenbelt steal illegally park car dead fall tree police clean,0_car_enforcement_case_street
121,1,"the app is a waste of time. the city of seattle doesn't care about enforcement of its laws, so this app is a waste of time. every single one of my reports gets closed without a comment, and no action is taken. they won't come, they won't fix it. fix it yourself, seattle won't.",FindItFixIt,Google,"[{'label': 'anger', 'score': 0.6110761165618896}, {'label': 'sadness', 'score': 0.27572721242904663}]",waste time care enforcement law waste time single close comment action come fix fix,-1_edit_post_website_new
123,1,no way to report powerlines out from fallen trees or fallen trees blocking the road,FindItFixIt,Google,"[{'label': 'sadness', 'score': 0.6979103088378906}, {'label': 'anger', 'score': 0.16837865114212036}]",way powerline fall tree fall tree block road,-1_edit_post_website_new
124,1,for some reason i cannot figure out how to report vehicles parked over (72) hours online. help me.,FindItFixIt,Google,"[{'label': 'sadness', 'score': 0.7361247539520264}, {'label': 'neutral', 'score': 0.1549912393093109}]",reason figure vehicle park hour online help,0_car_enforcement_case_street
125,1,"this app is a charade. this provides the illusion of reporting things, but in my experience every report i have made has been ignored, canceled, deleted or otherwise neglected. no one who responds these actually has any interest in solving any of the problems of the citizens of seattle. this is 100% done for show, and not for improving the city.",FindItFixIt,Google,"[{'label': 'sadness', 'score': 0.5207573175430298}, {'label': 'neutral', 'score': 0.28369268774986267}]",charade provide illusion thing experience ignore cancel delete neglect respond actually interest solve problem citizen improve,-1_edit_post_website_new
126,1,"i'm repeatedly getting a 500 server error when trying to file a report. i can't save a draft or anything to try again later, so i have to fill it all out again. a backup submission option (e.g., email) would be nice too.",FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.679087221622467}, {'label': 'sadness', 'score': 0.1939191222190857}]",repeatedly server error try file save draft try later fill backup submission option email nice,13_network_connect_connection_verify
129,1,no reply or status change regarding my request,FindItFixIt,Google,"[{'label': 'sadness', 'score': 0.7193782925605774}, {'label': 'neutral', 'score': 0.15160083770751953}]",reply status change request,3_close_waste time_waste_complete
130,2,it is giving me 503 errors frequently,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.5956694483757019}, {'label': 'surprise', 'score': 0.16851738095283508}]",error frequently,6_crash_error_crap_game
