,rating,review,app,source,sentiment,normalized_review,theme
33,5,"don’t usually write reviews but felt that i needed to counterbalance the reviews that were not about the app itself but about political aspects of having the app this app allowed me to easily report needle use and discard at a children’s playground and public indecency in front of a library. as a parent in seattle, i’m glad to have a mechanism to report this to the city.",FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.9916163086891174}, {'label': 'surprise', 'score': 0.0022991029545664787}]",usually write review feel need counterbalance review political aspect allow easily needle use discard child playground public indecency library parent glad mechanism,7_review_needle_general_litter
34,5,"everything i’ve reported, from graffiti to illegal dumping has been quickly taken care of. it’s great to take picture of issue. have a map to use to report problem. a lot of poor reviews are related to things the app wasn’t created for.",FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.41425201296806335}, {'label': 'neutral', 'score': 0.3469025492668152}]",graffiti illegal dumping quickly care great picture issue map use problem lot poor review relate thing create,3_graffiti_list_light_car
35,5,"i’ve used this app three times. the first 2 got fixed almost immediately. i’ve also recently reported a leaking fire hydrant. that isn’t fixed yet, but i’m hopeful. i do recommend this app. it usually works quickly.",FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.8957732915878296}, {'label': 'surprise', 'score': 0.04488913342356682}]",time fix immediately recently leak fire hydrant fix hopeful recommend usually work quickly,2_pothole_hole_pot hole_pot
36,5,"have made 5 or 6 reports of traffic signs knocked down, potholes, and the like. issues always fixed within a week, and in some cases, the next day! thanks to those to developed this app and to those who respond to the complaints.",FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.35866478085517883}, {'label': 'neutral', 'score': 0.30752190947532654}]",traffic sign knock pothole like issue fix week case day thank developed respond complaint,2_pothole_hole_pot hole_pot
37,5,i found this app to be very user-friendly and i’m glad the city uses it to track data and respond to complaints. really appreciate not having to call to report things.,FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.9906368851661682}, {'label': 'surprise', 'score': 0.0032922301907092333}]",find user friendly glad use track datum respond complaint appreciate thing,4_user friendly_friendly_user_easy use
38,5,"can’t confirm yet if the city is getting my reports, but it’s certainly easier to use this app than to figure out which form to submit on the web page.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.9279096722602844}, {'label': 'joy', 'score': 0.026446079835295677}]",confirm certainly easy use figure form submit web page,19_photo_picture_error_upload
39,5,"i’ve found the app easy to use, and the response from the city was surprisingly quick. i’ve sent in reports about road signs made illegible by graffiti, burnt out street signals, in every case repairs were prompt.",FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.5483944416046143}, {'label': 'surprise', 'score': 0.3408287465572357}]",find easy use response surprisingly quick send road sign illegible graffiti burn street signal case repair prompt,3_graffiti_list_light_car
42,5,there's been some illegal dumping near my neighborhood and the city had responded in a considerable amount of time. i appreciate all the service men and women who tend to the needs of our city. thank you for all that you do.,FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.6910508871078491}, {'label': 'sadness', 'score': 0.1398332417011261}]",illegal dumping near neighborhood respond considerable time appreciate service man woman tend need thank,2_pothole_hole_pot hole_pot
44,5,"this is a great service and nice to make it available via a mobile app. integration of camera and gps makes for accurate, real-time reports. maybe add scanning the license plate for vehicle reports.",FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.8617063760757446}, {'label': 'neutral', 'score': 0.09216802567243576}]",great service nice available mobile integration camera gps accurate real time maybe add scan license plate vehicle,-1_county_work great_close_communicate
45,5,"the homeless enablers are faking reviews to lower the score. the vagrants are out of control but the app is about fixing many problems. they just added the tents to it and its a huge problem. garbage, discarded needles thefts. report em.",FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.40293124318122864}, {'label': 'sadness', 'score': 0.26614490151405334}]",enabler fake review lower score vagrant control fix problem add tent huge problem garbage discard needle theft em,1_far_issue fix_thing fix_bug
46,5,thank you city of seattle for making it easy to report issues!,FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.5892917513847351}, {'label': 'surprise', 'score': 0.24935054779052734}]",thank easy issue,1_far_issue fix_thing fix_bug
47,4,the preset categories under ‘new request’ should include one for damaged sidewalks. this is an available option on the city of seattle website. i know there is a general “other inquiry” option but sidewalk-related matters are likely common.,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.8147727847099304}, {'label': 'sadness', 'score': 0.11803153157234192}]",preset category new request include damage sidewalk available option website know general inquiry option sidewalk relate matter likely common,-1_county_work great_close_communicate
48,5,this app is an amazing resource for graffiti and litter cleanup. ignore the 1-star reviews from people who are expecting the app to magically fix problems that the city itself can't.,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.6814883351325989}, {'label': 'joy', 'score': 0.11541783064603806}]",amazing resource graffiti litter cleanup ignore star review expect magically fix problem,3_graffiti_list_light_car
49,5,i wish every city had an app like this. it makes it easy to do your part.,FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.8597882390022278}, {'label': 'surprise', 'score': 0.055274851620197296}]",wish like easy,18_thing care_thing_beat_care great
51,5,"love this app, first hill area, i have used it twice in the last three months and response time for each incident was days, very impressed.",FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.9655012488365173}, {'label': 'neutral', 'score': 0.022866949439048767}]",love hill area twice month response time incident day impressed,-1_county_work great_close_communicate
59,5,can take parking enforcement a bit of time to get there but they eventually do.,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.9321961998939514}, {'label': 'sadness', 'score': 0.02951420098543167}]",parking enforcement bit time eventually,2_pothole_hole_pot hole_pot
61,4,it's really nice to be able to report safety issues on the spot. even nicer that problems are so quickly addressed. keep up the good work!,FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.923214316368103}, {'label': 'surprise', 'score': 0.038768235594034195}]",nice able safety issue spot nice problem quickly address good work,-1_county_work great_close_communicate
71,4,"thank you mayor mcginn and whoever else helped on this. great idea. suggestion: add other categories, e.g. abandoned houses, alarming odors, other broken infrastructure, general questions...",FindItFixIt,Apple,"[{'label': 'fear', 'score': 0.8915174007415771}, {'label': 'surprise', 'score': 0.04663714021444321}]",thank mayor mcginn help great idea suggestion add category abandon house alarming odor broken infrastructure general question,7_review_needle_general_litter
72,4,i've had good luck with the city as they've filled all 3 potholes i've reported. i'm shocked!,FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.9853305816650391}, {'label': 'neutral', 'score': 0.00406314991414547}]",good luck fill pothole shocked,2_pothole_hole_pot hole_pot
82,5,this is a great app for reporting homeless drug addicts that are squatting on our city streets.,FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.5570060014724731}, {'label': 'joy', 'score': 0.2241641730070114}]",great drug addict squat street,10_clean_neighborhood_help neighborhood_great job
89,5,i've wanted this for awhile!,FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.8672884106636047}, {'label': 'surprise', 'score': 0.06937187165021896}]",want awhile,0_quick response_quick_response_response time
106,5,"i have used this app for years to report everything from graffiti to stolen cars to hazardous materials from homeless encampments. the city does a great job fixing this stuff up quickly. my main critique is that this app needs to be promoted more via posters, billboards, spotify, online ads, and more. an app is only as good as its user base, and most friends and family that i have talked with had never heard of this app before. the other criticism that i have is that the team does need to always follow through with cleaning up the graffiti, fixing damaged roads, or removing debris to the full extent that it is actually there. it is frustrating to share a picture of some new ugly graffiti at a park, but only a small part of what is shown is actually cleaned up, and/or the rest of the park that has a lot more graffiti is left unchanged. please try to do as much as you can while you are there - follow the broken window theory. fix up as much as you can while you are there, don’t stick with the bare minimum. i know that keeping the city in top-notch condition is a massive undertaking, i so try to share this app with everyone i know so that we can have a cleaner, healthier, and more beautiful city. thank you to the city of seattle for creating this app!",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.3208797872066498}, {'label': 'neutral', 'score': 0.3095908761024475}]",year graffiti steal car hazardous material encampment great job fix stuff quickly main critique need promote poster billboard spotify online ad good user base friend family talk hear criticism team need follow clean graffiti fix damage road remove debris extent actually frustrating share picture new ugly graffiti park small actually clean rest park lot graffiti leave unchanged try follow broken window theory fix stick bare minimum know notch condition massive undertaking try share know clean healthy beautiful thank create,3_graffiti_list_light_car
108,5,"professionally, i clean up after the people who are living in tents and destroying their surrounding environments (our city) with endless garbage, urine, feces, heroine needles other drug paraphernalia and so much more. in the last 18 months, i’ve picked up over 1,400 33 gallon bags of trash from the homeless people who won’t pick up after themselves. thanks to this app, every camper i’ve reported (& i only report the ones whose habits could potentially harm city residents) have been cleared away and usually within a week. thank-you so much to our city workers. our children deserve a livable & healthy city today and in the future.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.34537261724472046}, {'label': 'anger', 'score': 0.22901883721351624}]",professionally clean live tent destroy surround environment endless garbage urine fece heroine needle drug paraphernalia month pick gallon bag trash pick thank camper habit potentially harm resident clear away usually week thank worker child deserve livable healthy today future,7_review_needle_general_litter
117,5,great for getting rid of pesky hobos,FindItFixIt,Google,"[{'label': 'joy', 'score': 0.660173773765564}, {'label': 'neutral', 'score': 0.28841105103492737}]",great getting rid pesky hobo,10_clean_neighborhood_help neighborhood_great job
118,5,i love that i can report nearly anything to the city and actually get responses and things taken care of.,FindItFixIt,Google,"[{'label': 'joy', 'score': 0.9850468635559082}, {'label': 'anger', 'score': 0.005613165441900492}]",love nearly actually response thing care,5_love_date_trash_perfect
120,5,easy to use!,FindItFixIt,Google,"[{'label': 'joy', 'score': 0.7334388494491577}, {'label': 'neutral', 'score': 0.16909945011138916}]",easy use,9_use easy_easy use_use_great easy use
127,5,"the app is fine, but seattle won't do anything about the reported issues any more so i don't even know if there's someone to see the reports, which makes the app worthless.",FindItFixIt,Google,"[{'label': 'sadness', 'score': 0.478335440158844}, {'label': 'neutral', 'score': 0.2236173450946808}]",fine issue know worthless,1_far_issue fix_thing fix_bug
128,5,padlock on porta-potty at me-kwa-mooks park,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.7517237067222595}, {'label': 'surprise', 'score': 0.1831568479537964}]",padlock porta potty kwa mooks park,7_review_needle_general_litter
138,5,"much better than the old app. not slick, but very good as far as ""an app from a city government"".",FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.441840261220932}, {'label': 'joy', 'score': 0.2814842760562897}]",old slick good far government,13_government_local_application_local government
139,5,easy to use and gets results.,FindItFixIt,Google,"[{'label': 'joy', 'score': 0.5573233962059021}, {'label': 'neutral', 'score': 0.3981911540031433}]",easy use result,4_user friendly_friendly_user_easy use
140,5,"make for all states, even if code enforcement doesn't acknowledge it, we can show them easier than calling in each one",FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.9667454957962036}, {'label': 'surprise', 'score': 0.015320243313908577}]",state code enforcement acknowledge easy,-1_county_work great_close_communicate
144,5,great app now let's you pick the location of the report.,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.6505019068717957}, {'label': 'joy', 'score': 0.2554295063018799}]",great let pick location,-1_county_work great_close_communicate
145,5,actually useful.,FindItFixIt,Google,"[{'label': 'joy', 'score': 0.37251171469688416}, {'label': 'neutral', 'score': 0.3198889493942261}]",actually useful,0_quick response_quick_response_response time
151,5,"the new update circa late 2022 is a vast improvement. good job guys! one feature suggestion would be a way to see issues raised by others (the reporter could decide to make their issue public vs private, perhaps) and let other people 'up vote' (limited to one vote per user!) that report to help prioritize reports. it would also be nice to have a shareable link to the report that a reporter could send to neighbors to ask them to up vote if they too would like to see the issue fixed. thanks!",FindItFixIt,Google,"[{'label': 'joy', 'score': 0.47955191135406494}, {'label': 'neutral', 'score': 0.41828709840774536}]",new update circa late vast improvement good job guy feature suggestion way issue raise reporter decide issue public vs private let vote limit vote user help prioritize nice shareable link reporter send neighbor ask vote like issue fix thank,-1_county_work great_close_communicate
153,5,"helped me remove homeless encampment where drug dealing was rampant. this app saved my block. five stars for that thank you. the homeless mentally ill get away with murder in seattle. time for them to go, get kicked up. fund the spd.",FindItFixIt,Google,"[{'label': 'anger', 'score': 0.48767319321632385}, {'label': 'joy', 'score': 0.2819414436817169}]",help remove encampment drug dealing rampant save block star thank mentally ill away murder time kick fund spd,7_review_needle_general_litter
156,5,the last update made this app easier to use!,FindItFixIt,Google,"[{'label': 'joy', 'score': 0.8235138058662415}, {'label': 'neutral', 'score': 0.09161879867315292}]",update easy use,9_use easy_easy use_use_great easy use
159,5,"easy to use, quick, i see results in less than 10 days. thank you",FindItFixIt,Google,"[{'label': 'joy', 'score': 0.5246644020080566}, {'label': 'surprise', 'score': 0.3437853455543518}]",easy use quick result day thank,4_user friendly_friendly_user_easy use
160,4,"really nice that it has so many services in one place and it's easy to submit requests. the follow up on a lot of my request has been very quick, but some haven't gotten any follow up. it seems depend on which service it goes to. broken car window glass on the street got no response.",FindItFixIt,Google,"[{'label': 'surprise', 'score': 0.46919184923171997}, {'label': 'sadness', 'score': 0.3606417775154114}]",nice service place easy submit request follow lot request quick follow depend service break car window glass street response,-1_county_work great_close_communicate
161,5,easy to use and the city actually pays attention to the reports.,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.8736593723297119}, {'label': 'joy', 'score': 0.07499898970127106}]",easy use actually pay attention,4_user friendly_friendly_user_easy use
162,4,"""service not initialize"". it was working fine and now i can't report the mower down stay safe street signs. android 12 moto g 5g.",FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.5854651927947998}, {'label': 'sadness', 'score': 0.2716783583164215}]",service initialize work fine mower stay safe street sign android moto g,14_gps_location_map_instead
163,5,works well,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.8353598117828369}, {'label': 'joy', 'score': 0.09380771219730377}]",work,8_work time_involve_work_difference
168,4,"great service, hope to use it again.",FindItFixIt,Google,"[{'label': 'joy', 'score': 0.9254426956176758}, {'label': 'neutral', 'score': 0.04425429180264473}]",great service hope use,0_quick response_quick_response_response time
170,5,a priceless resource for residents and business owners. couldn't be earlier and they respond in a reasonable amount of time.,FindItFixIt,Google,"[{'label': 'surprise', 'score': 0.5829245448112488}, {'label': 'neutral', 'score': 0.2556242346763611}]",priceless resource resident business owner early respond reasonable time,-1_county_work great_close_communicate
172,5,"excellent, easy to use",FindItFixIt,Google,"[{'label': 'joy', 'score': 0.9048240184783936}, {'label': 'neutral', 'score': 0.07758154720067978}]",excellent easy use,9_use easy_easy use_use_great easy use
174,5,easy way to report public problems around the city.,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.7866159677505493}, {'label': 'sadness', 'score': 0.06870485097169876}]",easy way public problem,15_community_improve_community great_feel like
175,5,easy to use.,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.7528190016746521}, {'label': 'joy', 'score': 0.1912936568260193}]",easy use,9_use easy_easy use_use_great easy use
176,5,"i will donate my time and skills to rework this service. for free. but, i need suggestions and city support. for example, there will be no way to report homelessness. but there will be a way to donate toward housing to help curb homelessness. come on. let's be constructive.",FindItFixIt,Google,"[{'label': 'sadness', 'score': 0.3550231158733368}, {'label': 'joy', 'score': 0.33358508348464966}]",donate time skill rework service free need suggestion support example way homelessness way donate housing help curb homelessness come let constructive,7_review_needle_general_litter
180,5,"i was extremely impressed with this app. the app isn't super fancy but is easy to use and gets the job done. it was easy to report my issue and attach a photo. within 1 hour of reporting it, a city of seattle truck appeared (i reported a huge branch blocking the sidewalk) and within another hour it was fixed! thank you city of seattle!",FindItFixIt,Google,"[{'label': 'surprise', 'score': 0.9679675102233887}, {'label': 'neutral', 'score': 0.014136377722024918}]",extremely impressed super fancy easy use job easy issue attach photo hour truck appear huge branch block sidewalk hour fix thank,2_pothole_hole_pot hole_pot
182,4,could use more than one photo. often the request is dismissed without explanation.,FindItFixIt,Google,"[{'label': 'sadness', 'score': 0.8314176201820374}, {'label': 'anger', 'score': 0.10958046466112137}]",use photo request dismiss explanation,19_photo_picture_error_upload
183,5,easy user friendly,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.7144808769226074}, {'label': 'joy', 'score': 0.21130500733852386}]",easy user friendly,4_user friendly_friendly_user_easy use
185,5,good app to report unwanted things where you live.,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.7281206250190735}, {'label': 'disgust', 'score': 0.132109135389328}]",good unwanted thing live,18_thing care_thing_beat_care great
187,5,"i exclusively use this app to report homeless people, time to clean this dump up. snowflakes that have never ventured beyond their daddy's watchful gaze dont have a clue what is actually happening in this city. cant walk more than two blocks without someone shooting a needle in his arm, there are heroine block parties happening in belltown every day. tents clogging up the sidewalks, and i've seen enough grown men taking a dump on the wall of my building to last the rest of my life",FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.2959008812904358}, {'label': 'sadness', 'score': 0.2305661141872406}]",exclusively use time clean dump snowflake venture daddy watchful gaze clue actually happen walk block shoot needle arm heroine block party happen belltown day tent clog sidewalk grown man dump wall building rest life,3_graffiti_list_light_car
188,5,very helpful for cleaning up trash,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.6329782605171204}, {'label': 'disgust', 'score': 0.1431986391544342}]",helpful clean trash,10_clean_neighborhood_help neighborhood_great job
191,5,unless you ever walk outside your house or apartment and find needles and poop in around your area and bus stop you are unware and out of touch. you never get down into the streets every day to be threatened by meth and heroin addicts. you do not have a clue. you never ride the bus. you live in a world out of touch with what is really happening in seattle.,FindItFixIt,Google,"[{'label': 'fear', 'score': 0.7567381262779236}, {'label': 'anger', 'score': 0.12139669805765152}]",walk outside house apartment find needle poop area bus stop unware touch street day threaten meth heroin addict clue ride bus live world touch happen,-1_county_work great_close_communicate
192,5,"reported some needles found nearby denny park, and they cleaned it up by the next morning. huge kudos and thanks to the developers and workers of this project!",FindItFixIt,Google,"[{'label': 'joy', 'score': 0.5773729681968689}, {'label': 'surprise', 'score': 0.24592402577400208}]",needle find nearby denny park clean morning huge kudo thank developer worker project,7_review_needle_general_litter
193,5,no more guessing what the address is. app does it for you.,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.7887999415397644}, {'label': 'surprise', 'score': 0.1163405179977417}]",guess address,-1_county_work great_close_communicate
196,4,"overall, a helpful app. sometimes the gps locator is flakey and sometimes things don't get addressed as quickly as i think they should, but still way better than trying to figure out who to call or something. one thing i would like to see added is the ability to edit or cancel requests. a few times i have reported something and then the problem was addressed before anyone at the city likely even saw my request. another mention that the ability to modify or delete requests would be very welcome!",FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.5465124845504761}, {'label': 'joy', 'score': 0.2428310364484787}]",overall helpful gps locator flakey thing address quickly think way try figure thing like add ability edit cancel request time problem address likely request mention ability modify delete request welcome,14_gps_location_map_instead
197,5,the signs i reported were fixed!,FindItFixIt,Google,"[{'label': 'surprise', 'score': 0.7709581255912781}, {'label': 'anger', 'score': 0.0839536190032959}]",sign fix,-1_county_work great_close_communicate
198,5,thank you for picking up the illegality dumped garbage.,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.5526536107063293}, {'label': 'joy', 'score': 0.13753506541252136}]",thank pick illegality dump garbage,16_oakland_code enforcement_complaint_enforcement
199,5,i've been very happy with this app when i've needed city services.,FindItFixIt,Google,"[{'label': 'joy', 'score': 0.9945511221885681}, {'label': 'sadness', 'score': 0.0015215026214718819}]",happy need service,0_quick response_quick_response_response time
201,5,"great for reporting illegal dumping and needles, gets cleaned up really quick. odd reviews though, lots of people are confused about this app's purpose it seems",FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.8251223564147949}, {'label': 'surprise', 'score': 0.10807206481695175}]",great illegal dumping needle clean quick odd review lot confused purpose,-1_county_work great_close_communicate
202,5,seems to work well enough as intended and easier than reporting via website. for those bleeding hearts that don't even live in this city: kindly mind your own business. you have no stake in this matter and don't have to deal with the constant trouble brought about by these people. it's too bad there are people that think they're above the law because they're poor or homeless.,FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.4388357102870941}, {'label': 'sadness', 'score': 0.30119314789772034}]",work intend easy website bleed heart live kindly mind business stake matter deal constant trouble bring bad think law poor,13_government_local_application_local government
208,5,"great to have an option to report things affecting your home and neighborhood. i've had so much illegal dumping, and litter, and illegal fires, and exposed needles, and vandalism, and sidewalk blockage, and public urination, and trespassing, and junk cars dumped, and open drug use, and that's just from the year i've been in this part of town. i never knew what to do, and calling other city services always went no where, so kudos for having some way of expressing concerns and having them addressed",FindItFixIt,Google,"[{'label': 'joy', 'score': 0.7626124620437622}, {'label': 'sadness', 'score': 0.08685599267482758}]",great option thing affect home neighborhood illegal dumping litter illegal fire expose needle vandalism sidewalk blockage public urination trespassing junk car dump open drug use year know service kudo way express concern address,7_review_needle_general_litter
209,5,"used this app multiple times to report pedestrian signal issues, road markings, and illegal dumping. all resolved with a couple weeks at most. this is a great engagement tool!",FindItFixIt,Google,"[{'label': 'neutral', 'score': 0.6240556836128235}, {'label': 'joy', 'score': 0.24356330931186676}]",multiple time pedestrian signal issue road marking illegal dumping resolve couple week great engagement tool,2_pothole_hole_pot hole_pot
210,5,"this is fantastic. i've reported several things, and always get a prompt reply. some of the things i've reported have actually been fixed! this is the way to cut through the bureaucracy and get to a real live person who can respond to the issue. thank you city of seattle!",FindItFixIt,Google,"[{'label': 'joy', 'score': 0.6524477005004883}, {'label': 'surprise', 'score': 0.2683466672897339}]",fantastic thing prompt reply thing actually fix way cut bureaucracy real live person respond issue thank,0_quick response_quick_response_response time
212,5,"this is very useful. dont listen to crybaby enablers who want to sit on their high horses and feel superior because of their ""believe-eeze"". wanna help ""houseless"" people? let some live with you since your so big hearted and benevolent.",FindItFixIt,Google,"[{'label': 'joy', 'score': 0.921954333782196}, {'label': 'anger', 'score': 0.04100586473941803}]",useful listen crybaby enabler want sit high horse feel superior believe eeze wanna help houseless let live big hearted benevolent,7_review_needle_general_litter
214,5,so i'm horrible and a fascist when i report some non-homeless dumbass who blocks my driveway and makes it where i can't leave for work or whatever. i find it hilarious that attacking the homeless is what otherwise intelligent people see as the only purpose of this app.,FindItFixIt,Google,"[{'label': 'fear', 'score': 0.8809150457382202}, {'label': 'disgust', 'score': 0.04133009538054466}]",horrible fascist non dumbass block driveway leave work find hilarious attack intelligent purpose,7_review_needle_general_litter
