rating,review
2,It was a good app until my local officials decided to only accept certian types of requests and totally neutered the best functionalities. I thought this type of software was to help facilitate communication between residents and local government. Seems like my local government dosen't want to do the work. But hey I can request a street sweep so that's something I guess.
1,Tried to register my email address and I received a message stating my address is in use. Tried to reset password and never received a password reset email.
5,Very user friendly
1,The app doesn't stay on page
5,Totally awesome professional
5,"The few times I've used this app, I felt it was useful, but that's if I believe my fine city's employees have done their job as well as they are paid to do it"
3,You can make reports maybe where you live or put it on comments about what's going on in our community. But it doesn't even work your way and I'm going to tell you why politicians government and guess what covering up whatever it is what it is and I'll be able to change it until the right people get into office just that simple.
4,Like it
1,No sirve. App does not function correctly.
5,Amazing feedback. Quick responses and updates.
5,Awesome
3,"Though this app is an improvement over my city's previous reporting systems, it's still far from perfect. SeeClickFix staff need to work on their apps' UI, which could be made more aesthetically appealing, less clunky, and more intuitive. Also helpful would be the ability to copy text within individual request pages, and to suggest that a request recently closed by an organization be reopened if within a certain timeframe (where users cannot already reopen a request themselves)."
5,Quick responses and solutions.
5,Cool App
5,Works well
3,The app won't load.
1,Doesn't work
1,"This app is a bane on communities. It promises quickly repaired potholes and traffic improvements but delivers none of that. All it produces is neighborhood animosity and cyber bullying while actual infrastructure problems are ignored. Like Nextdoor, only if you could SWAT your neighbors with code enforcement. This app should be banned."
5,Very responsive and best way to get things taken care of. Thank you
2,Can't sign in. Entering email just cycles back to sign in page. Uses external browser istead of in app sign in. Lazy coders.
4,"For those who are complaining that nothing gets done after reporting an issue: sorry to say but you picked a bad town to live in and they chose to ignore you. My city fixes stuff the same day, so yhe reports are definitely going through. And those who are complaining of network errors. Buy a mew device. The app works fine its you who is the problem. i have android too. Anyway great app love it definitely nice and easy to use."
1,Didn't help a bit
5,Absolutely just amazing
5,Super handy and efficient way to communicate with my city
5,"Could be a little more user friendly, but it does what it needs to effectively."
5,Love seeing.the photos and other posts.
1,"This app is a great way for citizens to report on each other like they used to do in the soviet union, is doxxing people online ,and is also subverting ones right to face their accuser. This app is an authoritarians dream"
5,Excellent app
5,Things get taken care of if you use this app. It's great.
5,It's the app thats full of misteries
5,Which is the best app on my phone the response time is ASAP
1,ANDROID version sucks. it will not upload photos
5,Works great. If only the county/city did anything about many of the reports.
1,The CITY OF TUCSON STATES WORK HAS BEEN COMPLETE WHICH IS FALSE SAME PROBLEMS STILL EXIST THEY DO NOT CARE
5,"I gave this 5 stars but I downloaded it a few years ago. I was getting ads popping up on my Galaxy s9 non stop and driving me nuts, I downloaded this app and the very next time an ad popped up it asked me if I had opened the pre installed tv remote ap, which I hadn't, so I deleted the TV remote app and the pop ups were GONE !!. Have not had to use it since."
5,So much easier than calling
1,It should be zero stars can not get back to put confirmation code in to use app worthless unstall right after i installed it
4,Still new but great so far.
2,App opens with a Las Vegas location. Not local/regional area.
5,Its all good
5,Simple to use
5,Messages get to the dpw
5,Great way of communicating with the city!!!!
5,Very good
4,"Great, except it takes a long time for some of work orders to get completed!"
1,Terrible app. Samsung classified it as a game. Not very intuitive.
3,Tickets closed out without contacting the reporter. Most items are completed but it's a flash bang job. IE holes are filled but not followed up on to ensure pothole stays filled. I realize this is a service for our convenience & the county doesn't really have the funds/manpower to do this. They have done some great work with fixing monsoon slide areas. Once items are closed - there is no going back to the history even copy the ticket to re-open it.
5,Great fixing app
5,Gets the job done
3,Cannot edit or add comments to an existing report.
5,"Quick response, fast service!"
5,Work orders are compketed
5,"Once site was found, requesting help was pretty easy. Getting a response to my request has been frustrating & non existent to date. My trash was missed once, in the past few years & the error was quickly corrected, within 24 hrs, including a return phone call. Please help by responding. Thank you in advance. Have a Blessed day."
5,"Quick report, quick response. Valuable App."
1,Can't function here. I need to schedule a bulk trash pick up.
1,"About as useless as teats on a boar... Won't accept a location without having to fight the (cr)App, 50+% of reports can only be filed through website not App, won't accept description or photos if it IS an ""allowed"" report or simply fails to post report... Typical government dis-service 🤬"
5,"Good Day, very nice app but please do make this available on Hauwei App Gallery aswell. Newer versions of Hauwei cannot run this app without google play"
1,"Doesn't connect, takes too long to load photos, hard to find location without multiple taps, overall a difficult app to navigate. Poor user interface/usability. Needs work."
1,Garbage. Doesn't work and I'm irritated my city switched over to it.
5,Good
5,Deluxe & wrap sandwich are worth the money.
5,Works great except when they close the complaint with NO EXPLANATION
5,Ok
5,Very user friendly
5,"Great App indeed,very helpful regarding information in my neighborhood."
4,I think this app is a great tool . It's easy and time efficient to use.
5,This app does an awesome job ..
4,"Easy to use. Fast, results"
2,Most of the time service goes unanswered
5,Easy to enter and update repair requests.
5,Great app for busy bodies to snitch on neighbors with
1,"This app seems like it doesn't function the way it should; it has said I had a precious draft request with photos, yet these photos are not visible. There is no prompt indicating your request has even been sent either."
4,always room for improvement
1,This app used to work fine and then all of a sudden nothing worked. I've uninstalled it and reinstalled it. It can't load Place data it can't load anything. Even the desktop website has outdated security registration so I can't use it in my browser. Get it together seeclickfix.
1,This app does not report or follow up with correct results when reporting issues! (Useless app)
4,"Washington, DC hasn't been a partnering municipality since 2019 so please update your description."
4,This app highlights how much tht cities like to deflect actual issues. Auditing should be used to help actually address these issues
4,"Expect rude emails from the city of Champaign, IL. You tell them a streetlight needs replaced, they send an email saying it's fixed when it's not. Put in another fix and you will receive a nasty email. The app works great, just not the city you put in in with."
5,It's really good to go and see on the real.
3,"Good tool for reporting problems butif your city workers aren't interested in following up, it makes little difference. Also it's suffering from spammers creating accounts and submitting false email messages."
5,"Have used this app many times to report issues I have observed in our City. In most cases, the city has addressed my issues within 24 hours. Great app."
4,Well put together
5,Excellent concise
1,Cannot cancel.
1,I can't even sign up for an account. Keeps giving can't register due to recaptcha stuff. UIF is bad.
1,A great way for our city to waste more of our time & money! Case was created & closed with no resolution.
5,Three brake issue is close
5,It works every time. Get involved in your community and make a difference.
4,Only thing is I don't want a yone to see my name
5,"If you want to keep your community clean then use this app regularly. Make your representative official work for you, if they don't then fired them on the next election."
5,Fast response to complaints!!! COMPLAINTS escalated to the right agency for resolution!!! So far so good!!!
5,The app gives me a feeling that I have some control over issues in my neighborhood and I don't have to be the a-hole neighbor to get any of it done plus I have seen neighborhood issues actually get fixed due to this app so I give it 10 stars if I could.
3,OK but clunky.
5,I reported some potholes at a intersection and recieved a quick response. They informed me that they reported it to the appropriate department and I'm waiting to see if they will fill them .. Love the app because it is easy to use
1,Don't work
4,Easy to use and very informative
4,"It's a decent app, kinda surprised. Nice to not have to wait on hold for a person, just take a picture, sum up the issue, and go on with life."
5,Local agencies are very responsive. It's great to see results and it's easy reporting issues with photos.
1,"Town responded that it's fixed, and it's clearly not. No way to even see prior submissions and/or respond or comment."
5,Everything that was posted using this app was taken cared of
5,Love this app. Could use a few fixes tho
5,"Excellent, my city does read and respond to requests raised via this app. Very convenient to post either with a registered profile or anonymous. The email alerts to post threads are very helpful."
5,Great app wish it ran a lil smoother tho.
5,"Just an Absolutely Awesome app and i always keep this on my phone ,.. Its easy to use and they actually fix the problem ,.. Awesome guys and thabk you so very much for such an awesome and easy to use App. ,.. :) :) ,.."
4,Great way to report issues and keep a history of issues reported!
1,Good for lonely people who snitch all the time for lack of anything else.
4,Anytime i have reported an issue it has been resolved quickly
1,"App does not work, just gives an error about local storage and help does not explain how to fix on Android"
5,A quick and efficient way to keep the improvement of Abilene going in the right direction 👌.
1,"Was great, not so much after update. Quite a few of the previous version's features have disappeared. Very unhappy with the app..."
3,Updates have diminish reporting features. Before the update app was great for reporting and getting quick status updates. Now app does not allow you to report accurately on issues that need to be resolved like clogged storm drains or broken sidewalks and sinkholes in the roadway. Request remain open even after they've been resolved for several weeks or no updates at all and tickets remain open without resolution.
5,Easy to use and augments having to use the more cumbersome county website.
1,This app shows the address of the person complaining so that would be an ignorant thing to do especially if you live in Abilene Texas if you know what I mean.
5,It gets stuff done
5,"I love this app, its the best."
5,Excellent program! Easy to use
3,"The app itself works fine. But when looking at a lot of these review profiles...it looks like a whole bunch of ""Karen's and kevins"" who don't have the courage to be a decent human who is sensible and actual good neighbors and talk to your neighbor. As far as illegal dumping and legitimate abandoned cars it works. But what it's ACTUALLY used for is snitching on people. So if thats you Kevin or Karen you better make sure its anonymous, or you will have no friends. Which you prob dont have anyway."
5,Love that you are able too express issues and not have to wait on hold for long periods of time and still receive back information.
5,Fantastic app!
5,Easy to use.
5,Works great
4,Fast efficient job!
5,Great app for reporting potholes and broken stuff around the village
5,Is EPS a good information
5,Things are being addressed in a timely manner. There is so much illegal dumping in National City. I'm glad the City is acting to clean things up.
3,It seems to be a less functional version of the website at the moment. It's handy to have the app for quick reporting but I don't see a way to close my open requests that were opened previously using the website. I am logged in as a registered user but I just had to leave the app to close one of my requests. Is this functionality in the works?
5,Had a broken trash can. I told the city about it on this app. Had a new one within 6 days. Thank you Bay City!
5,I was surprised at how easy this was to use. I got a response within a day acknowledging my request.
1,Can not access . report dumping menu .
1,"App for neighbors to whine about stuff they could just be humans and deal with on their own. This app almost got my camper van stolen. While the idea for this app is interesting the application is horrific. Some residents use the app to report serious issues but at least 50% of all posts are whining about neighbors who park poorly or about a bottle on the sidewalk they want some one else to come and throw away for them or pictures of people's homes under and overpass listed as ""debris"". This app needs the ability for neighbors to come together to improve our own neighborhoods. Or it needs to partner directly with ways to get involved in making our community better. Please don't install this destructive, hate-first app. I parked my Camper Van on my street a few doors down from my hose late on Sunday. I could not get the van to its permanent place until the following weekend. I was careful to ensure it was parked well and parked legally. It was reported as abandoned and two hrs after being reported I caught two people try to break in. They told me it was reported on an abandoned car site to justify their actions. Their MUST be a better way to do this than anonymous snitching! Don't install this app. Just be a good person."
1,"Nice idea, poorly implemented. Keep trying To the response: Use the app. Test the app. Try the app. Hard to navigate Hard to close open tickets Cant find things small text boxes for data entry Its just sucks And a great idea all at the same time Seems designed by someone that has never used the app."
1,Very hard to use.. and you can't seem to put the correct address in.. cant see other issue around youre area
4,Very updated. A little hard to use. Gets fast information.
5,"Anytime a problem or situation comes up in the neighborhood, posting here gets acknowledged and solved 9 times out of 10"
4,"I really want to give 5 stars, but it won't let go of an old picture from a post 1 month ago! Please do an update to fix this issue!! I'm reporting grafitti on a daycare building and wont let go of a picture of a fallen tree!"
3,Useful app but would be way more useful if one could search requests on a map like the desktop app permits.
1,Terrible app. Can't edit or remove a comment.
1,"The app is not good enough , it keeps rerouting me out of the app and into the web browser and has me repeating login info , work beat on desktop computer for me , also I do have an android maybe it works better on apple ?"
5,"Great app for getting the county to fix issues. Couple tips. 1. Create a special email so you don't get retaliation from the gov't or the citizen you are reporting. You also can choose to post as ""anonymous"" but if you forget, your email is revealed. 2. Get the date time stamp camera mobile app. It can put a date time location compass and map right on the photos, saving a lot of time."
5,Good
3,"Great app for Huntsville AL area. Now if we can just get surrounding cities to be active users. . . Btw, I use a Samsung Galaxy s3. Update 06-15-17: I'm on an s4 now, and the app doesn't notify me when there's an update to an issue. :( Update 09-30-20: i just tried to reopen and comment an issue that was just closed, and i can't do either from the app. Now on a OnePlus 5, Android 9. What can i do?"
5,So far so good
4,Good thank you
1,"See click fix, more like see snitch fix. People rants on here like they do on Facebook, and they're always complaining about the stupidest little things. I had left one of my grocery bags on my porch so I could take the rest of my bag upstairs and someone took a picture of it and posted it stating that I was dumping trash. I already know who it was so I walked up to that person immediately and checked her."
5,Practically everything you need in one place. One problem still when you log into online billing for electricity still says you need to download flash player.
1,"Problems with app- can't edit when you make a mistake. Can't add a photo after an issue has been started. Not enough topics related to the issues needed to start a new issue. Please fix these issues, thank you ."
1,Garbage
5,Easy to use
5,They actually have been responding!!
1,"Android version of this app simply doesn't work. I haven't yet managed to file a report - it's always a ""failed network connection,"" a perpetually spinning circle when I try to upload a photo, or a plain old crash. I use the web version often with no trouble at all, but the mobile app is so far a real stinker. I uninstalled it due to its unreliability and to the developers' failure to fix this ridiculous flaw: Users can't follow up (comment) on a complaint anonymously or as a guest."
5,It's a great way to get a hold of the city. They answer your questions quickly and keep you informed on the issue at hand.
1,Always problems with uploading pictures and location settings
5,Great to have. Now if the city would only get on the dead beats
5,Always good
5,I think it's great that the cities are enlisting help from the residents to keep their cities nicer to be in. Whoever thought this up .. great idea! Thank you.
5,Great way to have contact with DPW . Fast results
4,The App appears to be user-friendly...
5,"Good, timely responses. Good to see tasks assigned to the right people in the city."
3,I didn't really know how to use this app. That it could be beneficial for me
5,Super useful!
5,Easy to use
5,"Everytime I need to report an issue to my town, whether it is a pothole or a broken trash bin, I use the app and the town responds quickly and efficiently."
5,"Great way to get things taken care of around town without having to go through red tape and ""channels"""
4,Great app
5,Great and thank you
5,Worked well
1,Pure evil. This is the beginning of a communist state. They want you to be a good citizen and report your neighbors and friends to the authorities. America should reject this.
1,Hitler could only dream of having an app like this.
1,"DO NOT INSTALL OR USE THIS APP! It is not your job to ""snitch"" on your neighbors. We are still a Free Country, a Free Society, and a FREE PEOPLE! This is a blatantly Marxist app, and it is wrong. Even in an ""emergency"" we STILL have Constitutional Rights, rights that cannot, MUST NOT, be infringed due to a panicked populace and a power-hungry government. REJECT THIS APP, and SHUN THE DEVELOPER!"
5,Great app
5,Works great! Super informative. Excellent way for cities to connect with citizens
5,Good
5,"After submitting an issue with th green belt lights being out through this app, I quickly saw the issue being resolved."
5,I recommend this app to everyone. Thanks for helping my city keep clean. Thanks
1,Non-intuitive!
5,Nice app
4,Actually the app itself is pretty good. It is just that the City of Oakland seems to ignore or drag its' feet on most complaints.
5,great way to document and ensure acknowledgment of issues happening near you
2,This app version of what used to be a usable website is very difficult to use. I still can't figure out how to favorite things and keep a short list of what I'm following.
5,Great
5,Perfect for reporting things around home and town that need to be addressed or fixed😊
1,"Be very, VERY careful with this app. I use it only for reading about issues. Reporting something on it can lead to trouble. You can report anonymously, and that's fine. But if you comment on it, your identity will be revealed. And also, any post or comment you make cannot be edited or deleted. If any such post involves neighbors, it will create instant enemies. Beware."
5,Very accurate and easy to use...lets not forget how informative it is 🙌
5,Great app. Things get done.
4,Pot holes get fixed faster
5,Great app
5,Awesome
5,Helps bring attention to need for city support
4,Street sign fixed
5,Able to report a damaged hydrant; basically fixed the next day! Kept in the loop throughout the whole process by email notifications as well.
5,"Great app Makes it easy to report messes and code violations in your neighborhood without revealing your name. And in my city, stuff reported via this app gets dealt with quickly. Love that you can snap pictures and attach them pronto. Rat out your neighbors while snapping photos on your daily walk. Just be sure your OWN act is cleaned up, because they can rat YOU out easily, too. 😁"
5,Its the best to get thing done in my city
5,It is easy to use and issues that are addressed are removed promptly. Lets my family knowvwhat is going on in the community and the neighborhood.
4,"Works when it wants, I get a lot of network errors and there is nothing wrong with my network."
5,Love it
5,Love this service
5,Awesome way to stay informed of issues in the neighborhood.
5,"Works well, get answers, and items fixed quickly too."
5,Good App. Good idea for getting things done.
2,Location not at all accurate.
4,so far so goo
5,Works good!
5,Easy to use and gets things done
5,Really excellent way to be involved in community issues. Very good municipal response!
2,Would be great but the app always changes the address.
3,very useful app
4,A cute but useful communication tool
5,Easy to use and effective means of communicating with your local town or city
5,Excellent way to get things done without the hassle of trying to find the right place or person to call.
5,This is a great tool! Thanks City of Topeka!
5,really Great idea. simple to use. good responses.
5,great app
5,great app to share problems near you
4,very good app to see what's going on as far as issues in your neighborhood so you know whether or not you're the only one who is having the same problem
5,Convenient and easy to use to report issues to the city that need attention
5,Great app
2,"Recent update is horrible. I need to report an issue so I pull over and open the app, getting some kind of 'get to know your community' banner. I am on the side of the road trying to report an issue and I can no longer see the buttons and prompts. you have ruined this app.  Oh, and the address I was reporting was blocks away from where I was.  I had to edit it three times before I scrolled down and found the button to save and continue.    The developers invite me to contact support, but that is not a real-time option.  My city uses this application for public works, and it was FINE before this last update. I would have given it 5 stars."
5,love the app. do you have a version for private large facility managers?
3,needs a delete option or to be able to edit. entered location wrong and cannot fix.
4,so far all but one that I report has been fixed
3,"Why isn't there a way to edit a post after you submit it? If the address is wrong, and it always is, even after saving the location... very annoying... You can't go change the address. You have to go add a comment with the correct address or start over. There goes your anonymity... It's a cool app and all. But needs work. Just the fact an issue has been closed doesn't mean it's been fixed either. It's just been closed."
5,good tool to utilize if you don't want to call the appropriate party.
5,It's great I love the updates
5,👍
3,"The app is ok...except when you try to report something from the app. The catchpa tries to pop up, but doesn't, so you can't report from the app. You have to go to the internet to report, which sort of makes the app useless."
1,"why can't we edit a post!?!?! when i have to add a comment to an anonymous post, it kinda defeats the purpose......"
5,great way to notify the city of problem property
5,"this app is spectacular you see a problem take a picture, and the city will take care of the rest as soon as posible. great app."
5,great tool to connect with the city of new Westminster. im thankful that the city has adopted this and actively uses it to improve the city. great connect between city staff and residents.
5,spectacular works very well and gets the job done city does a great job responding
4,city has come out and fixed both problems i reported
1,problem still not resolve
5,what a great service
4,rarely intuitive to use..I just dont like the fact you have to sign up. I just want to report and be done.
5,Easy to report issues and love the follow up email.
3,Like the web page better. App won't let you supplement a report if you later have a picture to submit. This should have been a no brainer.
5,The issues that I've reported have been taken care of in a timely manner. Thank you very much!
5,"easy to report issue, while not waiting on the phone."
4,"overall, very easy to use. intuitive. Only thing I don't like, is that I cannot remove a picture once I've posted it."
5,Nice touch for St Charles@
5,very good
1,too slow when click submit. don't tell me to contact you. that does nothing. fix the apo. too slow when click submit. it's not my phone or connection. it's your slow app
1,"worst app. so slow to submit. do not respond telling me to contact you. i have to no avail. just fix your app. don't let cities mark issues closed. don't have home screen say ""24,879 issues resolved!"" esp when they aren't. let anonymous post more than 1 photo. gps pointer often wrong. says different street than what pointer is on. very difficult to move pointer. don't let cities list illogical category names"
5,Positive attention is given to this site and the response is EXCELLENT! Thank You
5,love how easy it is to report a problem
5,An app that helps the community! I love it!
5,Great city app!
5,so far so good. But lets see if it creates any ACTION
5,easy to use
5,"Great! I wish I had this app in the other states I had lived in 5 years ago it would of saved myself, car and waller ALOT of grief. Keep up the awesome work! :)"
5,a quick site to post issues on.
1,"This app also forces me to install a ""Game Launcher"" which is absolutely not welcome on my work phone. This app, and what appear to be related apps, can not be uninstalled or disabled. Oh, and it won't upload reports."
5,Great
5,love it
5,easy to use and report
5,great convenience for reporting code violations
5,awesome and a great tool for seaford residents
5,Come promptly to pick up tree limbs etc.
5,great app
5,Two reports both fix in unbelievable time. Love it!
4,"Some of the things I reported was solved right away, some takes time. thank you"
5,great
5,Very quick and easy way to report things that needd attention or repair in the community.
2,"Easy to use but issues get closed before resolved. Report unshoveled sidewalks but city closes before cleared. Have reported same one multiple times in last 2 weeks. Should not be able to be closed without agreement from person reporting if not going to be follow up making sure it actually fixed, not just a notice left saying need to correct."
5,love the geotag and photo option.
3,I really enjoy this app. You only got a 3 star because of offices that receives my post. They are not closing all post and some takes months for a reply.
4,Very convenient way to help keep a neighborhood nice
5,easy to use
5,easy to use
5,Great to keep up with neighborhood.
5,Trying to keep neighborhood clean.
1,"fake. the app immediately assigns a case number, then says the issue is resolved when they really didnt."
5,awesome
5,So Awesome!!!
5,easy to use
1,wont let me type address or lust something to fix.
1,i have one issue on my phone for a 1000 days and can't see to get rid of it
5,This App Is AWESOME.....
2,App is poorly designed and regularly posts the wrong address. There is also no clear way to edit an issue without close the issue and creating it again. It's unfortunate that is doesn't function better as I assume it be used by more people and help create better neighborhoods and cities.
3,works well but i dont like being notified everytime someone in my area reports something.
5,This is so much easier than trying to report a problem by phone and results have been excellent.
5,when you submit a problem it get taken care of quickly .
5,"it work's ,"
5,great idea
4,good
5,very good eazy to use
5,great app
5,thank you
5,terrific way to report and follow up on city issues
1,Everytime you open the app it makes the Samsung Game Tools pop up and I don't play games and there is no way to delete the Game Tools. This is the only app that does this on my phone.
4,I am grateful this system gets results.
5,Great app
5,"Love this app, keeps me up to date on things around the city and I'm able to post requests for trash and things."
4,Pretty good. See what it's like in any future notices. A good start though.
4,Good way to get the streets cleaned up
5,"Easy to use to report homeless people living at bus stops, litter , road repairs,.and any other Oakland city service. Includes camera and geolocation feature."
3,Don't now😁😁😁😁😁😁😢😉😉😠😥😤😣😐😀😁
5,Great
4,"It works! Found this by accident while googling who to call about a clogged storm drain in front of my house. To my surprise, the town sent out someone to unclog it only a few days latter."
5,"Always have had a good experience with this app, problems fixed/resolved promptly."
5,App works great I'm able to see problems in my neighbor hood and if there are any complaints against me
4,I use this app frequently to see the issues in my neighborhood. It's great to see that people care about the issues that arise.
5,Awesome!
5,Great app! Gets quick response and action from city officials!
3,Takes longer than would like to address the problems.
4,"This is a great way to report issues within your local community. I would give it a 5, but sometimes the pictures are saved 90 degrees off, and the app wont allow you to manipulate them."
5,Great way to contact city departments for minor repairs.
5,Great
4,I would rate it higher but since the last update when I report something it says I'm someplace where I'm not. I don't understand why this is happening. I do know that it's really annoying.
3,You have to be persistent and have to submit things several times but eventually you usually can get something done.
5,"Truly amazing app, issue reported was solved in a matter of days. Truly made me realize how proactive and attentive the officials of my city actually are."
5,Works great for me
5,Takes a while for respond but pretty good.
1,"App is great other than the Interface being a bit unexplanitory. Also when using the map to look at issues around your area, it will readjust and zoom in or out randomly causing it to be very difficult to navigate. Would be a 5 star rating if this issue was corrected."
4,Works well.
3,App was working fine until a recently. I've been attempting to post an issue for the past three days and I get the same message: the action failed due to a network connection. Even while using WiFi.
3,"I used to be able to report issues to the city, then the app must have changed. I can only report to the community. Please switch it back and I'll change my review. Thx!"
5,"I live in CA. I wish all cities in CA utilize this great app. This is 2018, not 1980's, we see something bad, to improve our city, just launch the app on cell phone to report."
3,"App is OK. Hard to find your issues. Map is dizzying. Can't post comments 
anonymously, making it impossible to communicate after posting an issue 
anonymously. With so much gun violence where we live, it is imperative to 
remain anonymous throughout some issues. Those issues requiring more 
information end up falling off the radar."
1,"Just another app that you have to sign in and remember passwords. It should 
be easy like the city of Aurora's app you don't need to sign in you can do 
it anonymously"
5,Quick and efficient way to report issues to local government.
4,"Great app, but get the information entered in order, or you will lose what 
you entered!"
1,"Not a very good app since it wont allow me to put in the correct address to 
the problem. GPS on app puts you almost 600 feet in wrong location. Not 
impressed with app"
1,None of it works!
5,Easy to use and helpful
3,"A great idea, ymmv. Depends on how committed your city is. I to have the 
annoying zoom reposition bug. Be careful not to get moderated, getting 
unmoderated does not seem possible. Moderated means all your posts get 
delayed because a person has to approve your post. For example I quoted 
municipal code and got moderated. Again."
5,"It is a great solution for resolving Community issues whether it's roadways 
or Animal Welfare issues. I believe this app allowed Leland to become more 
proactive in resolving issues"
5,"Great way to report issues, especially after hours when 311 is not 
available!"
5,Easy report/request. City handles issues immediately and I am thankful.
1,"I wrote the review of more than 3 paragraphs from my own experiences but 
even the review got wiped out just like the problem report page of this app 
had wiped out my entire text and location on the map, and an attached 
picture. It took more than 15 trials, and after 3 hours later, and without 
being able to save the texts in another app as this SeeClickFix app will 
wipe out any filled in information all wiped again. Thisnwas way too 
frustrating. Anonymity setting is a joke and by the time I disputed from 
the falsely closed report and changed the report status as open again, the 
app disclosed my identity altogether. And the developer wrongly afvised me 
that the profile name can be changed but it won't allow any change. This 
""falsely"" closed report status (and archiving by the facilitator) is 
alarming to me - our town employees are figuring out to dismiss the report 
by simply changing the report status to closed at any time. That is 
unethical. The case should be only closed when both parties changed to 
""closed"" -only thdn, the facilitator can archive it (unpin) from the map. 
And once archived, the public can never find what was discussed and 
concluded in the past similar repirt and resolution. Nothing will be 
learned as the past report will be hidden from the public access later. The 
app doesn't adopt the ""review"" system to prevent or discourage the false 
closing by the recipient of the report without any explanation or 
resolution provided. The closing should be controlled by the reporting 
party and not by the town departments. As Insaid my biggest problem is, The 
town department and its facilitator (IT staff) had falsely CLOSED and 
ARCHIVED the reports, and this app never notified the reporter of its newly 
changed status as an alert from the app to the reporter's phone. Lots of 
loop holes to allow the town to dismiss the reports blatantly. Implementing 
reviews by the original reporter can discourage this foul acts."
2,Cant edit or delete comments
5,Helps keep neighborhood clean
5,Nice way to get stuff done
5,Love it
4,Very good app to fix problems in neighborhood
5,"This is how government SHOULD work. Your results will vary by municipality, 
to be sure, but the elegance of being able to put the right information in 
place to enable trackable action to occur gives local officials the tools 
they need to succeed."
5,If this app really works than I'll be very happy.....
3,"Maybe it would work great, but when i submit stuff, half the time it goes 
unfixed. Like there is a telephone wire thats been down for a while, which 
could be dangerous. Nothing has been done about it. Stop signs at a 3 way 
stop need reposting, completely ignored by the city. You can submit stuff, 
doesnt mean anyone will do anything about it."
